Killed,Killed Class,Death Type,Death Class,X,Y,Z,Grid,Killed By,Killed By Class,Year,Month,Day,Hour,Minute
,RD501_speedboat_cis,NA,,14065.9,4806.28,-0.438958,140925,CT Deytow,JLTS_Clone_P2_DC15A_501,1985,5,10,8,15
,RD501_opfor_unit_B1_crew,NA,,14065.9,4806.28,2.96705,140925,CT Deytow,JLTS_Clone_P2_DC15A_501,1985,5,10,8,15
,RD501_opfor_unit_B1,NA,,13958.5,5354.96,0.00163078,139930,CT Blade,JLTS_Clone_P2_DC15A_501,1985,5,10,8,15
,RD501_opfor_unit_B1,NA,,13951.4,5361.14,0.0182762,139930,CT Blade,JLTS_Clone_P2_DC15A_501,1985,5,10,8,15
,RD501_opfor_unit_B1,NA,,13957.1,5347.82,0.00164127,139930,CS Rupert,JLTS_Clone_P2_DC15A_501,1985,5,10,8,15
,RD501_argon_transport_covered,NA,,13245.7,5428.09,0.0451846,132931,CX-C Sazi,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_B1,NA,,14381,4820,0.00141048,143925,CT Adhock,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_argon_transport_covered,NA,,13215.3,5440.76,0.0127182,132931,CX-C Sazi,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_argon_transport_covered,NA,,13261.4,5422.25,0.0608344,132931,CX-C Sazi,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_speedboat_cis,NA,,13314.1,5189.7,-0.554076,133929,CX-X Nuwisha,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_B1_crew,NA,,13314.1,5189.7,2.85324,133929,CX-X Nuwisha,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_B1_crew,NA,,13314.1,5189.7,2.85324,133929,CX-X Nuwisha,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_B1_crew,NA,,13314.1,5189.7,2.85324,133929,CX-X Nuwisha,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_human_rifleman,NA,,13259.7,5430.76,-0.0258989,132931,Error: No vehicle,,1985,5,10,8,16
,RD501_opfor_unit_B1,NA,,14300.5,4803.98,0.00139141,143925,CT Six,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_B1,NA,,14283.1,4806.58,0.00139809,142925,CT Six,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_argon_transport_covered,NA,,13229.2,5435.04,-0.313203,132931,CX-C Sazi,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_human_rifleman,NA,,13238.2,5436.07,0.00161695,132931,CX-C Sazi,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_B1,NA,,14287.9,4765.14,0.00125599,142924,CT Six,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_B1,NA,,14418.6,4821.21,0.00140762,144925,CP Hosed,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_B1,NA,,14302.5,4801.28,0.00139332,143925,CP Sig,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_B1,NA,,14382.2,4819.94,0.00135803,143925,CT Adhock,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_speedboat_cis,NA,,14587.6,3555.6,-1.22062,145912,CT Hungarian,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_B1_crew,NA,,14587.6,3555.6,2.20887,145912,CT Hungarian,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_B1_crew,NA,,14587.6,3555.6,2.20887,145912,CT Hungarian,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_B1_crew,NA,,14587.6,3555.6,2.20887,145912,CT Hungarian,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_B1,NA,,14318.1,4729.8,0.00132465,143924,CT Dalton,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_B1,NA,,14299.3,4752.05,0.00136566,142924,CT Six,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_B1,NA,,14401.2,4812.26,0.00144005,144925,CP Hosed,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_speedboat_cis,NA,,14270,4592.4,-0.984206,142923,CX-X Nuwisha,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_B1_crew,NA,,14270,4592.4,2.42281,142923,CX-X Nuwisha,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_B1_crew,NA,,14270,4592.4,2.42281,142923,CX-X Nuwisha,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_B1_crew,NA,,14270,4592.4,2.42281,142923,CX-X Nuwisha,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_B1,NA,,14338.2,4706.37,0.00138474,143924,CT Six,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_B1,NA,,14289.5,4742.87,0.00145435,142924,CT Deytow,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_B1,NA,,13547.4,5559.9,0.00142288,135932,CS Shape,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_B1,NA,,14362.5,4825.87,0.00136185,143925,CT Adhock,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_B1,NA,,14431.9,4788.33,0.00132465,144925,CP Hosed,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_B1,NA,,14322.5,4727.5,0.00143719,143924,CT Six,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_B1,NA,,13567.1,5599.05,0.0741749,135933,CS Shape,JLTS_Clone_P2_DC15A_501,1985,5,10,8,16
,RD501_opfor_unit_B1,NA,,13314.9,5380.99,0.00140953,133930,CX-C Sazi,JLTS_Clone_P2_DC15A_501,1985,5,10,8,17
,RD501_opfor_unit_human_rifleman,NA,,13297.2,5407.6,0.0016489,132931,CX-C Sazi,JLTS_Clone_P2_DC15A_501,1985,5,10,8,17
,RD501_opfor_unit_B1,NA,,13318.4,5430.85,0.00139999,133931,CX-C Sazi,JLTS_Clone_P2_DC15A_501,1985,5,10,8,17
,RD501_homing_spider_droid_Movable_MKII,NA,,13308.4,5410.3,-0.0841885,133931,CX-C Sazi,JLTS_Clone_P2_DC15A_501,1985,5,10,8,17
,RD501_opfor_unit_B1_crew,NA,,13308.4,5410.3,4.00156,133931,CX-C Sazi,JLTS_Clone_P2_DC15A_501,1985,5,10,8,17
,RD501_opfor_unit_B1_crew,NA,,13308.4,5410.3,4.00156,133931,CX-C Sazi,JLTS_Clone_P2_DC15A_501,1985,5,10,8,17
,RD501_opfor_unit_B1,NA,,13319.2,5453.45,0.00151253,133931,CX-C Sazi,JLTS_Clone_P2_DC15A_501,1985,5,10,8,17
,RD501_opfor_unit_B1,NA,,13319.3,5346.73,0.00150299,133930,CX-C Sazi,JLTS_Clone_P2_DC15A_501,1985,5,10,8,17
,RD501_opfor_unit_B1,NA,,13321,5361.28,0.00163174,133930,CX-C Sazi,JLTS_Clone_P2_DC15A_501,1985,5,10,8,17
,RD501_opfor_unit_B1,NA,,13352.1,5438.75,0.00149536,133931,CX-C Sazi,JLTS_Clone_P2_DC15A_501,1985,5,10,8,17
