,RD501_opfor_unit_B1_pilot,NA,,614.378,8199.11,62.8211,006081,1661,RD501_opfor_unit_B1_pilot,2017,7,21,10,1
,Land_Airport_Tower_F,NA,,2571.38,3401.03,0.0536518,025034,13173,RD501_AAT_Brown,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,Land_Dum_rasovna,NA,,2850.25,3391.14,-0.306458,028033,89521,RD501_opfor_unit_B1_crew,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,Land_Sara_Domek_sedy,NA,,2857.27,3391.65,-0.765702,028033,89521,RD501_opfor_unit_B1_crew,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,RD501_opfor_unit_B1_heavy,NA,,2925.63,3353.9,-0.0734549,029033,'Koho',SWLB_clone_base_P2,2017,7,21,10,1
,RD501_opfor_unit_B1,NA,,2857.54,3387.06,-0.161251,028033,90247,RD501_AAT_Brown,2017,7,21,10,1
,SWLB_clone_RTO_base_P2,NA,,3127.49,3528.38,-0.341413,031035,Shah,RD501_opfor_unit_B2_droid_Super,2017,7,21,10,1
,SWLB_clone_sg_base_P2,NA,,3003.88,3321.29,0.00143862,030033,9443,RD501_opfor_unit_B1_AT_heavy,2017,7,21,10,1
,Land_Deutshe_mini,NA,,2988.12,3332.25,-1.16618,029033,44032,RD501_opfor_unit_B1_crew,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,Land_Deutshe_mini,NA,,3019.64,3325.94,-1.16648,030033,44032,RD501_opfor_unit_B1_crew,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,Land_LampShabby_F,NA,,2725.27,3391.7,0.000144958,027033,45265,RD501_opfor_unit_B1_crew,2017,7,21,10,1
,Land_Hlidac_budka,NA,,2727.8,3392.17,0.000924587,027033,45265,RD501_opfor_unit_B1_crew,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
